BMS-2 Temperature (Celcius),BMS-2 SoC (%),BMS-1 Temperature (Celcius),BMS-1 SoC (%),Trip B (Km),Trip A (Km),Battery Efficiency (Km/kWh),Range Approximation (Km),Battery Voltage (mVolt),Signal Quality (%),Odometer2 (m),Odometer (Km),Vehicle Speed (Km/hr),GPS Heading (Degree),GPS VDOP,GPS HDOP,GPS Altitude (m),GPS Latitude,GPS Longitude,BMS-2 Current (Ampere),BMS-2 Voltage (Volt),BMS-1 Current (Ampere),BMS-1 Voltage (Volt),Events Group,Driver ID,RTC Log Datetime,RTC Send Datetime,Sequential ID,Frame ID (Type),Size (Bytes),CRC
0.00,0,0.00,0,0,0,217,39,3.978,64,18.610,5.128,23,88,1,1,0,-7.4374024,112.6892928,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:14","Tue, 13 Oct 2020, 14:50:15",20.272,2 (Full),92,9E6F79BA
0.00,0,0.00,0,0,0,212,44,3.978,64,18.571,5.128,30,96,1,1,0,-7.4373448,112.6888704,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:09","Tue, 13 Oct 2020, 14:50:11",20.271,2 (Full),92,EED4A037
0.00,0,0.00,0,0,0,207,49,3.978,83,18.546,5.128,27,98,1,1,0,-7.4372704,112.6886272,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:04","Tue, 13 Oct 2020, 14:50:07",20.270,2 (Full),92,F0221DD8
0.00,0,0.00,0,0,0,202,54,3.978,77,18.500,5.128,28,88,1,1,0,-7.437192,112.6881664,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:49:59","Tue, 13 Oct 2020, 14:50:01",20.269,2 (Full),92,FE6FA997
0.00,0,0.00,0,0,0,197,59,3.978,77,18.453,5.128,30,102,2,1,0.6,-7.4371632,112.6877312,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:49:54","Tue, 13 Oct 2020, 14:49:54",20.268,2 (Full),92,1914A3FE
0.00,0,0.00,0,0,0,192,64,3.978,74,18.428,5.128,29,96,1,1,1,-7.4371256,112.6875264,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:49:49","Tue, 13 Oct 2020, 14:49:50",20.267,2 (Full),92,49387453
0.00,0,0.00,0,0,0,187,69,3.942,77,18.386,5.128,12,134,1,1,1.1,-7.43704,112.6872064,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:49:44","Tue, 13 Oct 2020, 14:49:45",20.266,2 (Full),92,AB1E91F0
0.00,0,0.00,0,0,0,182,74,3.978,54,18.386,5.128,26,186,2,1,1,-7.4367968,112.687168,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:49:39","Tue, 13 Oct 2020, 14:49:40",20.265,2 (Full),92,DB2DFEC4
0.00,0,0.00,0,0,0,177,79,3.978,61,18.365,5.128,26,192,2,1,0.9,-7.4365952,112.6872192,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:49:34","Tue, 13 Oct 2020, 14:49:34",20.264,2 (Full),92,1CC77FA2
0.00,0,0.00,0,0,0,172,84,3.978,77,18.323,5.128,15,204,1,1,0.8,-7.43624,112.6873216,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:49:29","Tue, 13 Oct 2020, 14:49:30",20.263,2 (Full),92,E33B2F74
0.00,0,0.00,0,0,0,167,89,3.978,67,18.323,5.128,17,186,2,1,0.8,-7.4361096,112.68736,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:49:24","Tue, 13 Oct 2020, 14:49:25",20.262,2 (Full),92,928FF1F1
0.00,0,0.00,0,0,0,162,94,3.978,67,18.323,5.128,26,192,2,1,0.7,-7.4359424,112.6873728,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:49:19","Tue, 13 Oct 2020, 14:49:19",20.261,2 (Full),92,15B66E59
